,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2012-01-04,sz.399621,1703.5850,1715.1840,1660.5640,1661.2370,1690.9710,61471963,913374732.0800,-1.758420,,,,
1,2012-01-05,sz.399621,1643.2360,1643.2360,1562.8460,1564.4440,1661.2370,77278539,1017152377.3100,-5.826532,,,,
2,2012-01-06,sz.399621,1551.8750,1563.3380,1510.8390,1557.0070,1564.4440,63195157,817246759.4200,-0.475354,,,,
3,2012-01-09,sz.399621,1555.1700,1626.6640,1539.7380,1623.3480,1557.0070,75353210,926257057.0100,4.260774,,,,
4,2012-01-10,sz.399621,1629.0740,1700.4630,1624.4970,1700.3880,1623.3480,112811764,1573077935.4200,4.745743,,,,
5,2012-01-11,sz.399621,1698.9590,1739.6480,1696.0320,1716.2550,1700.3880,113231400,1615037520.8200,0.933129,,,,
6,2012-01-12,sz.399621,1705.8380,1735.4680,1700.5570,1722.0560,1716.2550,96767412,1336866932.9900,0.338026,,,,
7,2012-01-13,sz.399621,1718.7700,1726.9930,1633.2120,1648.1300,1722.0560,109521926,1416479637.4500,-4.292871,,,,
8,2012-01-16,sz.399621,1630.3750,1636.9650,1595.3800,1597.0600,1648.1300,65647602,892497162.3200,-3.098718,,,,
9,2012-01-17,sz.399621,1590.2360,1680.7210,1573.7370,1679.0320,1597.0600,89640998,1192566961.2600,5.132693,,,,
10,2012-01-18,sz.399621,1679.3390,1692.0090,1607.6910,1620.1060,1679.0320,117774293,1504763813.4600,-3.509488,,,,
11,2012-01-19,sz.399621,1608.3140,1630.8390,1572.1100,1583.6770,1620.1060,136157095,1798860059.7300,-2.248591,,,,
12,2012-01-20,sz.399621,1583.1930,1611.5260,1570.1700,1606.9880,1583.6770,130542163,1750524794.3600,1.471941,,,,
13,2012-01-30,sz.399621,1607.5530,1634.2510,1598.1890,1610.1270,1606.9880,90689199,1041174553.7100,0.195360,,,,
14,2012-01-31,sz.399621,1608.6150,1617.0020,1588.3600,1609.5580,1610.1270,69021981,792219062.0800,-0.035352,,,,
15,2012-02-01,sz.399621,1607.4220,1631.1180,1587.6670,1593.4410,1609.5580,78337379,875487410.3600,-1.001289,,,,
16,2012-02-02,sz.399621,1595.6470,1635.5510,1595.6470,1635.5510,1593.4410,76921973,947666578.2300,2.642692,,,,
17,2012-02-03,sz.399621,1633.4800,1678.6110,1629.1870,1672.5010,1635.5510,105736457,1311262056.0600,2.259197,,,,
18,2012-02-06,sz.399621,1676.3570,1692.1050,1670.9030,1685.1290,1672.5010,114774166,1462201353.0600,0.754996,,,,
19,2012-02-07,sz.399621,1676.1760,1680.3710,1649.5980,1666.0090,1685.1290,80052108,1012984730.3500,-1.134646,,,,
20,2012-02-08,sz.399621,1662.2610,1704.6040,1653.0900,1704.4430,1666.0090,95439304,1176329480.0300,2.306971,,,,
21,2012-02-09,sz.399621,1702.5280,1738.0490,1698.0050,1721.6720,1704.4430,136219564,1811556097.5300,1.010829,,,,
22,2012-02-10,sz.399621,1721.3350,1734.4260,1712.7240,1731.2280,1721.6720,121023021,1826100758.2800,0.555029,,,,
23,2012-02-13,sz.399621,1722.1740,1762.4340,1711.0790,1756.4390,1731.2280,138940038,1850587172.1400,1.456246,,,,
24,2012-02-14,sz.399621,1756.2880,1763.9020,1735.8650,1744.9430,1756.4390,109004808,1503651248.2700,-0.654477,,,,
25,2012-02-15,sz.399621,1746.5650,1809.3060,1745.8130,1807.1300,1744.9430,190335908,2529194579.7800,3.563842,,,,
26,2012-02-16,sz.399621,1810.5190,1843.3130,1802.3490,1820.0540,1807.1300,241002950,2668994517.2500,0.715144,,,,
