,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2012-01-04,sz.399911,2853.2900,2874.6110,2788.3860,2789.2950,2832.4050,424490900,3447771421.0000,-1.522032,,,,
1,2012-01-05,sz.399911,2778.4430,2812.1590,2743.1320,2751.2490,2789.2950,576599000,4196107860.0000,-1.363997,,,,
2,2012-01-06,sz.399911,2748.2940,2760.0740,2698.3740,2745.4340,2751.2490,409950000,3038498127.0000,-0.211356,,,,
3,2012-01-09,sz.399911,2747.6490,2843.1710,2723.6580,2842.9680,2745.4340,475765500,4304988246.0000,3.552587,,,,
4,2012-01-10,sz.399911,2844.7770,2957.2100,2838.2890,2953.1710,2842.9680,1183989200,7408084314.0000,3.876332,,,,
5,2012-01-11,sz.399911,2948.1900,2957.0360,2915.5620,2926.6990,2953.1710,974713100,5697550435.0000,-0.896390,,,,
6,2012-01-12,sz.399911,2913.5660,2954.3880,2906.8290,2912.3620,2926.6990,546512500,3843383983.0000,-0.489866,,,,
7,2012-01-13,sz.399911,2921.9520,2934.0280,2821.0720,2829.1390,2912.3620,534375800,3626264135.0000,-2.857582,,,,
8,2012-01-16,sz.399911,2808.5040,2830.8000,2769.8190,2770.2830,2829.1390,329778600,2346743574.0000,-2.080349,,,,
9,2012-01-17,sz.399911,2771.8460,2917.7990,2766.6440,2912.4190,2770.2830,648759600,4417180630.0000,5.130739,,,,
10,2012-01-18,sz.399911,2924.0180,2944.7020,2855.6420,2869.0010,2912.4190,571859500,4234451722.0000,-1.490787,,,,
11,2012-01-19,sz.399911,2877.9270,2954.0910,2864.7990,2944.0310,2869.0010,533823000,4263377420.0000,2.615197,,,,
12,2012-01-20,sz.399911,2950.6230,2997.4850,2939.4410,2986.9470,2944.0310,496341300,3855914385.0000,1.457730,,,,
13,2012-01-30,sz.399911,2998.9560,2999.0150,2928.6610,2934.8740,2986.9470,420362600,3313906953.0000,-1.743352,,,,
14,2012-01-31,sz.399911,2933.0260,2948.5910,2902.4850,2924.9180,2934.8740,293222600,2308439211.0000,-0.339233,,,,
15,2012-02-01,sz.399911,2919.0100,2967.6790,2901.1970,2908.5830,2924.9180,365542600,2828979803.0000,-0.558476,,,,
16,2012-02-02,sz.399911,2914.7740,2951.6020,2892.7770,2951.6020,2908.5830,390639800,3237576538.0000,1.479038,,,,
17,2012-02-03,sz.399911,2942.0890,2985.4720,2932.8420,2973.8380,2951.6020,511237800,3915248019.0000,0.753348,,,,
18,2012-02-06,sz.399911,2979.1070,2999.2340,2958.4100,2975.3500,2973.8380,472965400,3814738913.0000,0.050850,,,,
19,2012-02-07,sz.399911,2960.0360,2960.0360,2901.9470,2921.0820,2975.3500,456280700,3484429073.0000,-1.823922,,,,
20,2012-02-08,sz.399911,2917.2920,2991.4880,2905.7990,2982.8250,2921.0820,571215900,4478820062.0000,2.113700,,,,
21,2012-02-09,sz.399911,2979.4220,3012.6260,2962.7360,2996.0020,2982.8250,768537200,5142181488.0000,0.441763,,,,
22,2012-02-10,sz.399911,2981.7950,3026.8220,2979.6760,2995.0400,2996.0020,624395600,4371582949.0000,-0.032107,,,,
23,2012-02-13,sz.399911,2965.6940,3024.8310,2953.8030,3004.5180,2995.0400,583065800,4110294253.0000,0.316458,,,,
24,2012-02-14,sz.399911,3002.2980,3010.1960,2981.9770,2999.8860,3004.5180,446795400,3298917563.0000,-0.154170,,,,
25,2012-02-15,sz.399911,2995.0680,3052.8220,2993.4540,3039.2520,2999.8860,839498400,5804171397.0000,1.312249,,,,
26,2012-02-16,sz.399911,3034.8580,3055.9120,2996.5540,3023.4050,3039.2520,723444600,5287996408.0000,-0.521409,,,,
27,2012-02-17,sz.399911,3039.4100,3049.0400,2996.6470,3014.0020,3023.4050,469122800,3408702903.0000,-0.311009,,,,
28,2012-02-20,sz.399911,3049.2400,3065.0800,3030.6520,3031.2870,3014.0020,1088738000,5655975092.0000,0.573495,,,,
29,2012-02-21,sz.399911,3038.0710,3067.6050,3010.9350,3067.6050,3031.2870,950571700,5094643265.0000,1.198101,,,,
30,2012-02-22,sz.399911,3070.1610,3141.6720,3067.8530,3141.6720,3067.6050,1367442000,8749321412.0000,2.414494,,,,
31,2012-02-23,sz.399911,3137.9890,3159.3830,3126.9210,3147.8670,3141.6720,953076100,6421034738.0000,0.197182,,,,
32,2012-02-24,sz.399911,3145.3560,3188.4020,3137.3320,3184.1940,3147.8670,913678900,6772328260.0000,1.154024,,,,
