,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2012-01-04,sz.399936,2468.5690,2477.4530,2386.3620,2389.4330,2452.6580,103355200,935785539.0000,-2.577810,,,,
1,2012-01-05,sz.399936,2377.3330,2385.5850,2283.1830,2294.1470,2389.4330,123879900,937267652.0000,-3.987813,,,,
2,2012-01-06,sz.399936,2295.3150,2300.0050,2233.5240,2292.1660,2294.1470,84617100,736884131.0000,-0.086348,,,,
3,2012-01-09,sz.399936,2293.4330,2387.2470,2270.0870,2381.7740,2292.1660,136567300,1081121100.0000,3.909312,,,,
4,2012-01-10,sz.399936,2387.1020,2481.3280,2384.6610,2479.2160,2381.7740,247515400,1887121261.0000,4.091158,,,,
5,2012-01-11,sz.399936,2474.1560,2520.5500,2461.5520,2487.0840,2479.2160,142382600,1225739641.0000,0.317355,,,,
6,2012-01-12,sz.399936,2475.9740,2498.9970,2460.9440,2470.3470,2487.0840,188601200,1315005732.0000,-0.672959,,,,
7,2012-01-13,sz.399936,2468.5610,2477.2560,2369.8740,2378.7060,2470.3470,217155800,1536299175.0000,-3.709635,,,,
8,2012-01-16,sz.399936,2365.2900,2368.6280,2303.9460,2310.9790,2378.7060,124375400,972642450.0000,-2.847222,,,,
9,2012-01-17,sz.399936,2311.8860,2409.7000,2273.7300,2408.3810,2310.9790,153294700,1254687879.0000,4.214755,,,,
10,2012-01-18,sz.399936,2414.9760,2427.7620,2337.9520,2353.3120,2408.3810,139721000,1235036192.0000,-2.286561,,,,
11,2012-01-19,sz.399936,2356.0220,2391.6480,2315.2140,2338.8600,2353.3120,177833100,1656372441.0000,-0.614109,,,,
12,2012-01-20,sz.399936,2348.4960,2396.4510,2317.6810,2386.8750,2338.8600,237513400,2160662997.0000,2.052918,,,,
13,2012-01-30,sz.399936,2390.4200,2390.4200,2351.0670,2354.5000,2386.8750,208547300,1464697512.0000,-1.356376,,,,
14,2012-01-31,sz.399936,2353.4020,2362.2720,2321.0450,2347.2820,2354.5000,168375400,1114678081.0000,-0.306563,,,,
15,2012-02-01,sz.399936,2337.9150,2369.2330,2315.3450,2319.3630,2347.2820,155009300,1096751070.0000,-1.189416,,,,
16,2012-02-02,sz.399936,2326.6260,2373.2000,2320.0040,2372.6170,2319.3630,131016700,993986368.0000,2.296057,,,,
17,2012-02-03,sz.399936,2372.3200,2429.9300,2364.4760,2422.8400,2372.6170,200771300,1586823048.0000,2.116783,,,,
18,2012-02-06,sz.399936,2424.4730,2449.4290,2420.3480,2438.7600,2422.8400,179456500,1480715549.0000,0.657077,,,,
19,2012-02-07,sz.399936,2432.5500,2432.5500,2396.9370,2411.0060,2438.7600,158738100,1088372568.0000,-1.138034,,,,
20,2012-02-08,sz.399936,2411.5320,2466.1520,2399.8310,2464.4940,2411.0060,192968800,1386109362.0000,2.218484,,,,
21,2012-02-09,sz.399936,2459.4410,2489.4080,2448.0250,2463.7810,2464.4940,174825100,1409258980.0000,-0.028926,,,,
22,2012-02-10,sz.399936,2460.1230,2483.2250,2452.7940,2465.8650,2463.7810,129928500,1038022254.0000,0.084585,,,,
23,2012-02-13,sz.399936,2479.5660,2504.4680,2455.8880,2487.1310,2465.8650,134974200,1298172969.0000,0.862420,,,,
24,2012-02-14,sz.399936,2488.1030,2497.6610,2469.2520,2481.9010,2487.1310,104342200,1013918540.0000,-0.210291,,,,
25,2012-02-15,sz.399936,2485.0560,2542.4700,2480.6760,2541.0210,2481.9010,208343700,1902647910.0000,2.382050,,,,
26,2012-02-16,sz.399936,2532.8780,2575.1160,2516.9470,2536.5870,2541.0210,192967500,1831919890.0000,-0.174500,,,,
27,2012-02-17,sz.399936,2543.5170,2556.9420,2512.5320,2537.6320,2536.5870,109308200,1052864034.0000,0.041204,,,,
28,2012-02-20,sz.399936,2572.2150,2595.4350,2556.8560,2558.9720,2537.6320,183439000,1770127701.0000,0.840935,,,,
29,2012-02-21,sz.399936,2562.5940,2588.2000,2529.8020,2587.4980,2558.9720,146688900,1514655275.0000,1.114749,,,,
30,2012-02-22,sz.399936,2583.7180,2654.8620,2579.8340,2653.8330,2587.4980,279555300,2560440458.0000,2.563672,,,,
31,2012-02-23,sz.399936,2640.3690,2656.3920,2614.9290,2637.1440,2653.8330,270701900,2421897929.0000,-0.628863,,,,
32,2012-02-24,sz.399936,2637.4570,2653.4120,2618.2990,2652.0850,2637.1440,263270200,2252772574.0000,0.566557,,,,
33,2012-02-27,sz.399936,2660.0110,2682.9460,2642.1880,2642.7490,2652.0850,285821800,2405504942.0000,-0.352023,,,,
34,2012-02-28,sz.399936,2635.1640,2652.7390,2599.5090,2618.2340,2642.7490,190550000,1797061995.0000,-0.927638,,,,
