,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2012-01-06,sz.399386,2867.2710,2873.7670,2593.6150,2646.3590,692409199,9509233333.1900,3,0.019072,-7.167936
1,2012-01-13,sz.399386,2648.1950,2839.2390,2615.0310,2706.1240,1653597514,20083677652.9400,3,0.045479,2.258386
2,2012-01-20,sz.399386,2683.5670,2718.8790,2563.7480,2712.0570,1719434840,21618979149.7600,3,0.047275,0.219243
3,2012-02-03,sz.399386,2716.0870,2778.4650,2666.2910,2772.0370,1532258157,17404277876.0700,3,0.042129,2.211605
4,2012-02-10,sz.399386,2780.4950,2855.4580,2731.4660,2846.0370,2103927407,23805451118.9500,3,0.057847,2.669517
5,2012-02-17,sz.399386,2823.1310,2938.5380,2811.4660,2897.6160,2653917082,29214472930.7600,3,0.072968,1.812310
6,2012-02-24,sz.399386,2931.1350,3002.1750,2850.9600,3001.1750,2714412154,32472290018.0300,3,0.074632,3.573938
7,2012-03-02,sz.399386,3009.3780,3044.2130,2930.6980,2983.3410,2436710777,30975052687.6600,3,0.066996,-0.594234
8,2012-03-09,sz.399386,2993.1870,2996.1540,2895.6180,2979.1700,2215308728,28925396438.0000,3,0.060909,-0.139810
9,2012-03-16,sz.399386,2988.6710,3098.0460,2918.8160,3061.0600,3247322924,43945216084.5700,3,0.089243,2.748752
10,2012-03-23,sz.399386,3063.9560,3094.0680,2910.8070,2923.1120,2066495977,27108316803.8300,3,0.056754,-4.506543
11,2012-03-30,sz.399386,2917.2790,2946.8680,2728.8350,2745.3930,1545401108,20224072379.3500,3,0.042442,-6.079788
12,2012-04-06,sz.399386,2745.6990,2835.0650,2737.4390,2817.4620,654052129,8205576574.4500,3,0.017963,2.625089
13,2012-04-13,sz.399386,2811.2710,2892.7120,2730.7920,2883.7420,1629340302,19361068277.3600,3,0.044748,2.352472
14,2012-04-20,sz.399386,2866.5620,2910.6150,2840.7150,2909.4290,2116193406,25779409617.0300,3,0.058118,0.890752
15,2012-04-27,sz.399386,2907.4000,2909.6150,2807.8710,2848.6980,2256363656,26994878746.1900,3,0.061968,-2.087386
16,2012-05-04,sz.399386,2883.3740,2998.6980,2866.9200,2996.8220,1730566702,22356584776.1000,3,0.047519,5.199709
17,2012-05-11,sz.399386,2980.8170,3044.9490,2961.8120,3026.4210,2826161165,36923518899.1400,3,0.077578,0.987680
