,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2015-01-09,sz.399438,2341.2780,2450.1800,2283.8780,2291.8830,13262747376,93353077760.0000,3,0.131389,-1.738486
1,2015-01-16,sz.399438,2266.3790,2318.5470,2190.4320,2286.4340,6614742336,43178564352.0000,3,0.064544,-0.237752
2,2015-01-23,sz.399438,2178.3000,2240.6150,2084.0210,2214.5540,7732156512,48946129920.0000,3,0.074091,-3.143760
3,2015-01-30,sz.399438,2215.2240,2291.8060,2186.1460,2235.5230,8617727312,56945799424.0000,3,0.082576,0.946872
4,2015-02-06,sz.399438,2196.0040,2218.5390,2032.7630,2044.6410,7638188640,50444307968.0000,3,0.073190,-8.538584
5,2015-02-13,sz.399438,2035.7090,2140.7830,2007.3530,2124.0150,4854658096,30836786944.0000,3,0.046518,3.882051
6,2015-02-17,sz.399438,2125.2160,2149.1280,2123.2340,2148.4210,1638751776,11027560192.0000,3,0.015703,1.149050
7,2015-02-27,sz.399438,2152.0730,2237.1170,2138.3420,2221.8520,3745355392,25502670336.0000,3,0.035706,3.417906
8,2015-03-06,sz.399438,2247.7640,2257.2290,2155.2230,2180.4720,6876380768,44752354304.0000,3,0.065372,-1.862410
9,2015-03-13,sz.399438,2170.6490,2262.9090,2151.2670,2261.2230,7205797968,48265426432.0000,3,0.068504,3.703372
10,2015-03-20,sz.399438,2269.6110,2465.1140,2262.9300,2454.0000,13870887968,96325789184.0000,3,0.131867,8.525342
11,2015-03-27,sz.399438,2483.4200,2563.2510,2444.8320,2467.1540,14093789200,104733167104.0000,3,0.133986,0.536023
12,2015-04-03,sz.399438,2475.6030,2569.4440,2473.6110,2568.8820,12793563248,97962849536.0000,3,0.121625,4.123293
13,2015-04-10,sz.399438,2579.3030,2639.3040,2507.0490,2604.6960,12458115936,100501229568.0000,3,0.118436,1.394147
14,2015-04-17,sz.399438,2611.7110,2890.7660,2600.2060,2847.1400,21586046064,170536611840.0000,3,0.205213,9.307958
15,2015-04-24,sz.399438,2819.6580,3098.4060,2764.6210,3020.7440,23133135904,201973073152.0000,3,0.219921,6.097487
16,2015-04-30,sz.399438,3033.7310,3160.4380,2937.9650,3116.6620,16386364608,147092650240.0000,3,0.155781,3.175310
17,2015-05-08,sz.399438,3123.1330,3439.5380,2839.1790,2926.3710,24234771184,221009966848.0000,3,0.230394,-6.105603
18,2015-05-15,sz.399438,2965.7210,3226.1120,2946.6750,3102.4490,18952044336,173076878848.0000,3,0.180173,6.016940
19,2015-05-22,sz.399438,3082.1380,3303.1720,3069.8430,3302.4660,16264911744,157565370112.0000,3,0.153495,6.447068
20,2015-05-29,sz.399438,3314.5060,3684.8760,3178.7180,3367.6840,27052905216,274196730368.0000,3,0.253202,1.974827
21,2015-06-05,sz.399438,3420.4470,3795.0530,3394.3420,3778.4490,23015515840,253911701248.0000,3,0.215194,12.197255
22,2015-06-12,sz.399438,3793.9620,3965.5190,3722.4470,3957.9980,23534441744,267560809728.0000,3,0.220046,4.751923
23,2015-06-19,sz.399438,3978.3150,4014.6060,3619.3460,3619.8090,21862034320,235985392896.0000,3,0.204409,-8.544446
24,2015-06-26,sz.399438,3614.5430,3958.1060,3427.3090,3556.2180,18831715376,193100285440.0000,3,0.174786,-1.756750
25,2015-07-03,sz.399438,3654.1100,3661.2990,2916.3470,2921.2050,19074371200,170319739392.0000,3,0.173499,-17.856414
26,2015-07-10,sz.399438,3112.9410,3112.9410,2586.2330,2975.1430,16902293760,120017784064.0000,3,0.153690,1.846430
27,2015-07-17,sz.399438,3069.9590,3238.0490,2815.1610,3074.2100,16213541744,130177793792.0000,3,0.147427,3.329823
28,2015-07-24,sz.399438,3080.0870,3284.0140,3034.0230,3173.4560,16060837696,137945156864.0000,3,0.146038,3.228342
29,2015-07-31,sz.399438,3103.9410,3180.0270,2778.2260,2978.4530,13036645600,105029709568.0000,3,0.118540,-6.144815
30,2015-08-07,sz.399438,2947.1940,3097.8580,2902.2210,3073.2360,8938779312,71387443712.0000,3,0.081279,3.182290
31,2015-08-14,sz.399438,3115.0440,3396.3050,3109.6800,3351.0380,16386616912,148506727936.0000,3,0.148762,9.039397
32,2015-08-21,sz.399438,3358.0840,3451.6230,3021.7330,3036.1430,15924213760,152164951808.0000,3,0.144564,-9.396939
33,2015-08-28,sz.399438,2935.4800,2943.7580,2563.1590,2814.4460,10406041024,72025948160.0000,3,0.094469,-7.301929
34,2015-09-02,sz.399438,2803.3200,2849.2180,2696.3190,2816.7010,7747122464,56327987456.0000,3,0.070330,0.080122
35,2015-09-11,sz.399438,2821.1320,2888.6790,2690.0790,2788.9350,7690323296,56952527616.0000,3,0.069815,-0.985763
36,2015-09-18,sz.399438,2811.2330,2817.7730,2566.1040,2617.1210,6431647984,44303111168.0000,3,0.058388,-6.160559
