,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2012-01-06,sz.399617,6161.7160,6161.7160,5700.7150,5795.3550,239796981,5579555033.4800,3,0.017477,-5.535431
1,2012-01-13,sz.399617,5800.0320,6205.9130,5676.4890,5959.8010,609605884,12325998762.4000,3,0.044430,2.837548
2,2012-01-20,sz.399617,5921.0560,5946.4220,5582.2770,5934.1020,532193340,12002903789.8400,3,0.038788,-0.431206
3,2012-02-03,sz.399617,5966.6750,6061.2080,5802.9880,6039.6040,552285594,12135358396.7500,3,0.040253,1.777893
4,2012-02-10,sz.399617,6045.8570,6234.3640,6008.7740,6194.9850,617844846,12817829126.6800,3,0.045031,2.572702
5,2012-02-17,sz.399617,6144.3000,6355.3930,6125.3870,6271.6200,538596479,11442200086.9600,3,0.039255,1.237049
6,2012-02-24,sz.399617,6323.5840,6511.6970,6222.3670,6501.4610,605284355,13233496787.4000,3,0.043636,3.664779
7,2012-03-02,sz.399617,6512.2310,6637.7620,6500.6580,6586.5610,754773368,17076365987.3600,3,0.052417,1.308937
8,2012-03-09,sz.399617,6605.5750,6706.6970,6457.3920,6706.6970,703122053,14365967605.0800,3,0.048830,1.823956
9,2012-03-16,sz.399617,6699.0420,6985.0140,6637.7360,6984.4940,878207724,20191331642.8200,3,0.060871,4.142084
10,2012-03-23,sz.399617,6979.8010,7068.3560,6711.0600,6733.1530,664759641,15653483855.8400,3,0.046031,-3.598557
11,2012-03-30,sz.399617,6715.7910,6816.9650,6219.4900,6263.9940,506934614,13771090012.7900,3,0.035001,-6.967895
12,2012-04-06,sz.399617,6254.1640,6604.2530,6221.1930,6599.1310,228394467,5493413906.3900,3,0.015760,5.350213
13,2012-04-13,sz.399617,6575.2030,6649.2660,6372.4580,6581.0760,574217341,11273735869.9100,3,0.039622,-0.273597
14,2012-04-20,sz.399617,6560.1670,6602.2290,6422.3050,6543.9840,607049346,12156838774.9100,3,0.041849,-0.563616
15,2012-04-27,sz.399617,6570.9510,6657.0360,6387.0750,6627.1710,1000963483,16130992994.9900,3,0.068988,1.271198
16,2012-05-04,sz.399617,6675.0600,6868.5510,6626.3440,6862.8310,531297425,11623065483.8400,3,0.036181,3.555967
17,2012-05-11,sz.399617,6859.0940,6940.1830,6690.4580,6734.7680,807145410,18098026741.7800,3,0.054212,-1.866037
18,2012-05-18,sz.399617,6756.7740,6757.5090,6443.6460,6474.0260,742063579,13564788906.3800,3,0.048522,-3.871581
19,2012-05-25,sz.399617,6469.9960,6705.3610,6344.9050,6373.5340,707966086,17720679182.4600,3,0.046292,-1.552233
20,2012-06-01,sz.399617,6339.8570,6586.0950,6296.5450,6526.0920,620484738,14941057448.0700,3,0.040526,2.393617
21,2012-06-08,sz.399617,6447.2120,6517.0870,6317.1230,6332.5400,519600740,11059491394.8200,3,0.032961,-2.965818
22,2012-06-15,sz.399617,6332.9200,6598.6470,6263.0900,6503.4450,597270525,13570380141.4200,3,0.035986,2.698838
23,2012-06-21,sz.399617,6509.2790,6582.3000,6368.4620,6395.1080,431764801,8079272813.3100,3,0.025816,-1.665840
24,2012-06-29,sz.399617,6380.1480,6446.6630,6258.0660,6393.4100,590887765,10591124821.6100,3,0.035331,-0.026552
25,2012-07-06,sz.399617,6417.0580,6706.7470,6371.2780,6693.4980,761492808,19720376534.3400,3,0.046983,4.693708
26,2012-07-13,sz.399617,6677.5160,7002.3870,6566.7660,6885.1320,1084537006,29486420842.2200,3,0.066793,2.862987
27,2012-07-20,sz.399617,6889.6920,6933.2840,6521.9780,6544.9400,804498639,19797465363.2500,3,0.049522,-4.940966
28,2012-07-27,sz.399617,6501.8760,6602.4910,6351.5130,6409.0840,551128734,13535527029.4100,3,0.033925,-2.075741
29,2012-08-03,sz.399617,6395.0560,6454.1590,6285.4580,6436.6080,436415208,10417483546.8400,3,0.026864,0.429453
30,2012-08-10,sz.399617,6416.1230,6720.4190,6407.0340,6620.5540,609446032,15188787548.6000,3,0.037481,2.857810
31,2012-08-17,sz.399617,6615.7120,6664.5280,6206.3460,6264.0820,520971944,13519840686.5500,3,0.032003,-5.384323
32,2012-08-24,sz.399617,6240.1190,6456.0550,6199.8840,6202.0000,485638583,10972928482.5500,3,0.029832,-0.991079
33,2012-08-31,sz.399617,6198.7340,6198.7340,5712.7550,5821.7200,385546679,9171661735.1500,3,0.023684,-6.131570
34,2012-09-07,sz.399617,5847.7310,6165.2210,5812.5800,6098.0390,495012667,11660130603.1900,3,0.030408,4.746346
35,2012-09-14,sz.399617,6113.8430,6167.1010,6034.1840,6111.5530,514212639,10664660190.8200,3,0.031588,0.221612
36,2012-09-21,sz.399617,6108.9690,6123.0230,5689.2500,5742.2200,369730228,8410404835.4400,3,0.022712,-6.043194
37,2012-09-28,sz.399617,5705.4510,6015.4660,5668.5490,6010.8000,389114634,8828752544.4500,3,0.023903,4.677285
38,2012-10-12,sz.399617,6015.5470,6136.0000,5898.1400,6041.0780,492764973,9146372924.3300,3,0.030270,0.503727
39,2012-10-19,sz.399617,6082.7150,6284.9220,6045.8960,6200.8190,526626876,12956090621.4900,3,0.032350,2.644247
40,2012-10-26,sz.399617,6179.1010,6217.2370,5870.0010,5906.4120,458424494,10325190507.9500,3,0.028161,-4.747873
41,2012-11-02,sz.399617,5877.2490,6024.0980,5834.2490,6001.5860,370981084,8272372713.5000,3,0.022789,1.611367
42,2012-11-09,sz.399617,5998.2710,6048.8070,5745.0270,5760.2730,435306661,8950131096.4700,3,0.026534,-4.020820
43,2012-11-16,sz.399617,5759.3790,5782.9720,5448.6220,5487.4870,346891699,7888726592.1800,3,0.020997,-4.735644
44,2012-11-23,sz.399617,5479.4200,5479.4200,5175.5980,5297.7810,516656022,11977964730.4600,3,0.031272,-3.457065
45,2012-11-30,sz.399617,5286.6340,5296.5370,5044.2290,5086.1170,381532210,8010144597.4400,3,0.023094,-3.995333
46,2012-12-07,sz.399617,5072.4220,5072.4220,4723.9420,5036.8400,770532536,16509700917.7800,3,0.046639,-0.968853
47,2012-12-14,sz.399617,5014.8720,5201.8970,4967.2880,5187.7380,910051910,17859786399.3300,3,0.055084,2.995886
48,2012-12-21,sz.399617,5194.8570,5378.2080,5158.8250,5307.0810,1178309475,23047907200.3500,3,0.071321,2.300482
49,2012-12-28,sz.399617,5305.0070,5497.5320,5195.5410,5488.1070,1055137748,20654430567.5400,3,0.063866,3.411028
50,2013-01-04,sz.399617,5488.3740,5545.1470,5427.3340,5498.9920,503209682,10886635455.9300,3,0.030900,0.198338
51,2013-01-11,sz.399617,5488.6880,5838.4350,5437.3650,5695.2660,1038013248,25877945268.3800,3,0.064498,3.569272
52,2013-01-18,sz.399617,5648.4280,5890.5760,5620.3380,5790.0060,1299049110,27852599424.5200,3,0.080717,1.663487
53,2013-01-25,sz.399617,5791.2540,5793.0610,5395.9360,5440.8910,1110480009,24568156541.3700,3,0.068995,-6.029614
54,2013-02-01,sz.399617,5416.9560,5492.7830,5338.8690,5465.5490,1274152173,27898526605.3200,3,0.079133,0.453198
55,2013-02-08,sz.399617,5467.7150,5616.3980,5320.4090,5577.9340,1099191466,22949713237.6100,3,0.068266,2.056244
56,2013-02-22,sz.399617,5594.3170,5644.9550,5421.0780,5604.9170,1026375337,23389281283.1600,3,0.063743,0.483745
57,2013-03-01,sz.399617,5612.1050,5645.4630,5369.5780,5494.5550,831999472,19643113971.5000,3,0.051672,-1.969021
58,2013-03-08,sz.399617,5479.8660,5663.1420,5413.1250,5513.2590,1073537556,22512983176.4400,3,0.066672,0.340410
59,2013-03-15,sz.399617,5488.4980,5516.9460,5195.5830,5251.1230,617163703,13231191689.5400,3,0.038329,-4.754647
60,2013-03-22,sz.399617,5238.0200,5276.0760,5011.0940,5191.5750,674086405,15368571378.4700,3,0.041864,-1.134005
61,2013-03-29,sz.399617,5199.5810,5218.6900,5006.6460,5035.4090,691233901,15556005324.0600,3,0.042929,-3.008066
62,2013-04-03,sz.399617,5007.7920,5023.7160,4839.9750,4863.0080,386534135,7827098520.6300,3,0.024006,-3.423774
63,2013-04-12,sz.399617,4776.2320,5038.8750,4731.6320,4992.1000,742225320,15767353420.5500,3,0.045892,2.654571
64,2013-04-19,sz.399617,4976.8410,5078.2660,4819.0360,5072.4540,612030606,12611946619.9100,3,0.037801,1.609623
65,2013-04-26,sz.399617,5047.2550,5055.1770,4886.3540,4894.3850,763922529,15867372067.0800,3,0.047182,-3.510510
66,2013-05-03,sz.399617,4871.7260,4929.6640,4812.2080,4910.2250,250951614,5163974996.6400,3,0.015200,0.323636
67,2013-05-10,sz.399617,4914.2980,5155.9640,4908.5700,5118.7020,784127705,15898444666.1600,3,0.046683,4.245773
68,2013-05-17,sz.399617,5118.7140,5203.4950,4992.6140,5190.9750,690412212,12696110525.9100,3,0.041104,1.411940
69,2013-05-24,sz.399617,5194.6140,5298.1580,5162.8370,5233.2970,941042764,18480497615.3100,3,0.055880,0.815300
70,2013-05-31,sz.399617,5231.2200,5396.8830,5196.7440,5296.7650,895607953,17210723138.1900,3,0.051285,1.212773
71,2013-06-07,sz.399617,5297.1810,5333.2940,5039.2120,5054.8530,673243033,13225710168.2000,3,0.038372,-4.567165
72,2013-06-14,sz.399617,4970.5100,4970.5100,4832.2570,4943.7620,249112582,4284291087.6200,3,0.014198,-2.197710
73,2013-06-21,sz.399617,4951.3760,5014.7450,4784.7940,4887.0820,573165392,10334613148.9700,3,0.032668,-1.146495
74,2013-06-28,sz.399617,4889.5410,4889.5410,4391.7490,4634.5140,690474474,11328125055.4000,3,0.039354,-5.168074
75,2013-07-05,sz.399617,4618.5820,4874.3770,4585.8730,4800.2110,829566451,15261782054.4900,3,0.041295,3.575283
