,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2012-01-06,sz.399916,2215.1970,2223.8620,2073.0620,2112.2910,234690800,1778734546.0000,3,0.009107,-4.303528
1,2012-01-13,sz.399916,2118.0460,2281.9450,2086.1900,2157.3520,775052900,5191985454.0000,3,0.030075,2.133276
2,2012-01-20,sz.399916,2147.5160,2210.3850,2014.7050,2105.9690,706724400,5771082278.0000,3,0.027424,-2.381762
3,2012-02-03,sz.399916,2104.0310,2104.3540,1991.8950,2052.1660,754309800,4910824467.0000,3,0.029270,-2.554786
4,2012-02-10,sz.399916,2053.7180,2094.0630,2028.2700,2077.6620,657668400,4444898304.0000,3,0.025520,1.242395
5,2012-02-17,sz.399916,2073.1960,2162.9760,2052.5110,2135.9980,575076000,4909505264.0000,3,0.022315,2.807771
6,2012-02-24,sz.399916,2161.3430,2214.8840,2116.4960,2210.9410,874058600,6442702437.0000,3,0.033917,3.508571
7,2012-03-02,sz.399916,2226.4320,2251.3690,2157.1780,2196.1390,949759500,6537422316.0000,3,0.036855,-0.669489
8,2012-03-09,sz.399916,2197.9660,2200.3750,2078.8760,2150.3390,1530966100,9611039590.0000,3,0.059408,-2.085478
9,2012-03-16,sz.399916,2154.6720,2207.3640,2104.4380,2150.3110,998907200,7075605344.0000,3,0.038762,-0.001302
10,2012-03-23,sz.399916,2139.5790,2180.1250,2060.0540,2067.8060,780915900,5369136683.0000,3,0.030303,-3.836887
11,2012-03-30,sz.399916,2066.8420,2075.4540,1947.7810,1987.5440,610068900,4054399611.0000,3,0.023673,-3.881505
12,2012-04-06,sz.399916,1989.3570,2028.3350,1983.8060,2004.4980,218748700,1570795609.0000,3,0.008488,0.853013
13,2012-04-13,sz.399916,1995.5090,2024.5940,1943.3390,2020.5410,465931300,3231947966.0000,3,0.018080,0.800350
14,2012-04-20,sz.399916,2009.1590,2072.6930,1982.6470,2068.2890,422265300,3455171266.0000,3,0.016386,2.363129
15,2012-04-27,sz.399916,2086.3310,2115.3220,2045.0590,2055.1680,780913800,5363903790.0000,3,0.030303,-0.634389
16,2012-05-04,sz.399916,2080.5830,2111.5920,2065.0650,2110.5490,373767700,2690843297.0000,3,0.014504,2.694719
