,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2012-01-06,sz.399929,2354.6800,2359.9230,2187.4930,2245.6530,2878136800,26461873788.0000,3,0.014318,-3.713148
1,2012-01-13,sz.399929,2247.7580,2521.3280,2224.0770,2436.3500,9528394100,96077673571.0000,3,0.047396,8.491828
2,2012-01-20,sz.399929,2402.6410,2613.9190,2347.1410,2585.1280,9255022800,104402211269.0000,3,0.045919,6.106594
3,2012-02-03,sz.399929,2599.2490,2609.5500,2487.0110,2583.2180,6365274300,73077838562.0000,3,0.031530,-0.073884
4,2012-02-10,sz.399929,2589.4270,2698.6750,2522.1060,2669.7490,9883869100,110885511665.0000,3,0.048946,3.349737
5,2012-02-17,sz.399929,2637.1380,2722.4050,2624.7030,2684.3580,8726117500,94516537977.0000,3,0.043175,0.547205
6,2012-02-24,sz.399929,2722.8290,2814.1330,2654.1140,2813.6940,11399618100,122473365795.0000,3,0.056239,4.818135
7,2012-03-02,sz.399929,2823.5850,2881.6540,2774.3770,2845.6230,11938384400,136706126400.0000,3,0.059014,1.134772
8,2012-03-09,sz.399929,2854.2350,2873.0140,2741.7640,2845.1210,10661557100,125335993498.0000,3,0.052225,-0.017641
9,2012-03-16,sz.399929,2851.2910,2919.7350,2701.1560,2784.0480,13588378200,161102008350.0000,3,0.065887,-2.146587
10,2012-03-23,sz.399929,2781.9370,2867.0320,2728.8730,2741.2770,10689284000,135903281862.0000,3,0.051791,-1.536288
11,2012-03-30,sz.399929,2738.7880,2780.4120,2514.3290,2537.5730,7399781900,92540695623.0000,3,0.035848,-7.430989
12,2012-04-06,sz.399929,2535.1280,2651.4370,2528.5340,2635.1440,2968593400,37208869930.0000,3,0.014380,3.845052
13,2012-04-13,sz.399929,2624.9140,2729.4370,2552.0830,2716.4600,7984312600,91558635451.0000,3,0.038557,3.085828
14,2012-04-20,sz.399929,2689.1150,2748.3460,2664.1710,2744.7140,7885099200,82282570346.0000,3,0.038052,1.040104
15,2012-04-27,sz.399929,2742.1590,2750.8410,2617.0850,2713.5940,9660634100,102173156867.0000,3,0.046567,-1.133816
16,2012-05-04,sz.399929,2746.7400,2823.5030,2722.2030,2823.0010,6442986800,81012862321.0000,3,0.030984,4.031812
17,2012-05-11,sz.399929,2806.6420,2849.8670,2749.3310,2749.3310,9421826300,121232323201.0000,3,0.045159,-2.609634
18,2012-05-18,sz.399929,2770.5310,2774.8200,2654.1930,2668.8780,7252049500,86289497553.0000,3,0.034715,-2.926276
19,2012-05-25,sz.399929,2668.6260,2729.2470,2657.1480,2673.3160,6722905400,80283105710.0000,3,0.031977,0.166287
20,2012-06-01,sz.399929,2664.6380,2783.6330,2629.4350,2750.8400,9399468600,109364182522.0000,3,0.044550,2.899919
21,2012-06-08,sz.399929,2717.9960,2725.4670,2614.9400,2617.5920,6263307100,82367271306.0000,3,0.029436,-4.843902
22,2012-06-15,sz.399929,2617.9310,2662.7760,2594.7260,2631.4890,5500767000,65906106523.0000,3,0.025714,0.530908
23,2012-06-21,sz.399929,2643.7110,2665.7620,2563.6420,2572.7410,4126448200,44761886702.0000,3,0.019255,-2.232500
24,2012-06-29,sz.399929,2560.2790,2560.2790,2369.8810,2434.0420,5422614600,56246272047.0000,3,0.025686,-5.391098
25,2012-07-06,sz.399929,2453.3170,2473.2610,2365.5150,2435.4910,4954314400,51906947384.0000,3,0.024136,0.059531
26,2012-07-13,sz.399929,2412.2930,2438.4170,2345.6200,2409.0380,5536056300,57890849145.0000,3,0.026807,-1.086146
27,2012-07-20,sz.399929,2411.0440,2412.8130,2329.9700,2365.3500,5223356900,50711200506.0000,3,0.025281,-1.813504
28,2012-07-27,sz.399929,2348.6650,2354.6140,2310.3030,2317.0470,4480738000,40380907610.0000,3,0.021671,-2.042108
29,2012-08-03,sz.399929,2316.1640,2329.8120,2238.2560,2303.4970,4581373400,41955824933.0000,3,0.022157,-0.584796
30,2012-08-10,sz.399929,2299.2530,2440.9780,2295.0830,2412.8000,7828436100,84659349364.0000,3,0.037861,4.745090
31,2012-08-17,sz.399929,2406.4740,2406.4740,2312.7780,2336.6730,5391241200,52591710062.0000,3,0.026063,-3.155131
32,2012-08-24,sz.399929,2317.8050,2360.8960,2298.2440,2304.3500,5152186600,53123564792.0000,3,0.024810,-1.383292
33,2012-08-31,sz.399929,2292.8710,2293.0840,2152.0970,2168.4250,5024602700,45459229505.0000,3,0.024169,-5.898627
34,2012-09-07,sz.399929,2170.6290,2350.7590,2158.4160,2326.5320,6609293900,59610808259.0000,3,0.031792,7.291329
35,2012-09-14,sz.399929,2346.1530,2410.2480,2323.6630,2374.2810,10200772100,100685748771.0000,3,0.048908,2.052368
36,2012-09-21,sz.399929,2372.5410,2384.5370,2245.1650,2269.8420,7446745900,77234964224.0000,3,0.035695,-4.398763
37,2012-09-28,sz.399929,2247.2210,2329.4190,2202.9050,2327.7760,7319840900,75297959128.0000,3,0.035040,2.552336
38,2012-10-12,sz.399929,2324.3170,2369.7800,2285.5570,2332.6970,8015504300,76988941193.0000,3,0.038300,0.211404
39,2012-10-19,sz.399929,2322.0700,2350.5800,2278.7660,2333.8550,6039049000,55981479576.0000,3,0.028856,0.049642
40,2012-10-26,sz.399929,2311.1650,2335.6360,2218.0300,2224.0360,7481791100,58419939985.0000,3,0.035750,-4.705477
41,2012-11-02,sz.399929,2218.8840,2279.7890,2196.9540,2269.7740,5802911200,50233173670.0000,3,0.027470,2.056531
42,2012-11-09,sz.399929,2258.8660,2285.1680,2188.7930,2194.1050,5171394500,48571688134.0000,3,0.024416,-3.333768
43,2012-11-16,sz.399929,2195.7050,2213.6580,2116.3360,2131.5380,4340840700,39927568895.0000,3,0.020486,-2.851596
44,2012-11-23,sz.399929,2130.1430,2168.2260,2118.5640,2151.2120,3345234600,31557113215.0000,3,0.015785,0.922996
45,2012-11-30,sz.399929,2152.6630,2157.8030,2013.1690,2046.9690,4248649100,34336531463.0000,3,0.020048,-4.845780
46,2012-12-07,sz.399929,2044.7970,2158.5310,1977.0700,2150.3640,6720525300,56130562169.0000,3,0.031684,5.051127
47,2012-12-14,sz.399929,2155.3040,2244.8880,2143.2830,2241.0650,8299567600,71364450360.0000,3,0.039120,4.217937
48,2012-12-21,sz.399929,2244.2980,2326.3370,2244.1740,2275.8640,9740024300,96733616059.0000,3,0.045895,1.552789
49,2012-12-28,sz.399929,2270.8660,2356.3080,2247.9300,2345.6680,9568563000,93119963248.0000,3,0.045110,3.067143
50,2013-01-04,sz.399929,2348.1410,2409.3100,2343.3640,2378.8050,4414680900,44317994470.0000,3,0.022389,1.412689
51,2013-01-11,sz.399929,2373.5810,2403.1430,2318.9090,2325.0960,9722714600,97412415533.0000,3,0.049032,-2.257814
52,2013-01-18,sz.399929,2311.9450,2468.4840,2310.5820,2433.8110,11529832800,117969120702.0000,3,0.058139,4.675721
53,2013-01-25,sz.399929,2436.2490,2443.5280,2348.5430,2369.7700,9508624800,91232706754.0000,3,0.047916,-2.631305
54,2013-02-01,sz.399929,2371.9700,2488.1390,2371.9700,2479.3180,10965050700,109741989016.0000,3,0.055049,4.622727
55,2013-02-08,sz.399929,2494.8890,2561.3460,2469.3840,2552.5160,10540546400,107292259038.0000,3,0.052906,2.952344
56,2013-02-22,sz.399929,2551.5730,2554.2710,2376.4880,2394.3060,9547241000,92910797690.0000,3,0.047920,-6.198198
57,2013-03-01,sz.399929,2395.4570,2428.4000,2349.5760,2426.1570,7845463400,73692660173.0000,3,0.039259,1.330281
