,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2012-01-06,sz.399930,2219.4210,2225.8260,2067.4400,2116.3670,3163712300,25019215821.0000,3,0.012264,-3.952556
1,2012-01-13,sz.399930,2118.4190,2306.7730,2095.6060,2210.5880,8580720000,69175747681.0000,3,0.033230,4.452016
2,2012-01-20,sz.399930,2191.5740,2312.4670,2151.6630,2307.9840,8016342000,65232460858.0000,3,0.031043,4.405887
3,2012-02-03,sz.399930,2312.7920,2321.9250,2243.7810,2317.5630,5843176700,50202158934.0000,3,0.022619,0.415038
4,2012-02-10,sz.399930,2322.8510,2378.9080,2260.5580,2358.3620,8556887300,72898458579.0000,3,0.033106,1.760427
5,2012-02-17,sz.399930,2336.5200,2417.7970,2328.6110,2391.0370,8985432700,76720279480.0000,3,0.034707,1.385496
6,2012-02-24,sz.399930,2420.6590,2503.7200,2367.8930,2502.5760,11152106100,98479393471.0000,3,0.043036,4.664880
7,2012-03-02,sz.399930,2509.2210,2546.9670,2456.1760,2520.1870,11410677100,102500113139.0000,3,0.044067,0.703715
8,2012-03-09,sz.399930,2528.8380,2547.6850,2453.6160,2530.3080,10291602400,100839269848.0000,3,0.039707,0.401597
9,2012-03-16,sz.399930,2534.4400,2579.3490,2416.5970,2471.3380,12694660600,124278128069.0000,3,0.048890,-2.330546
10,2012-03-23,sz.399930,2469.0980,2484.9600,2384.8370,2393.7600,8462358400,80205404194.0000,3,0.032557,-3.139109
11,2012-03-30,sz.399930,2389.9100,2404.3860,2226.3760,2257.2470,6815026500,59345042085.0000,3,0.026197,-5.702869
12,2012-04-06,sz.399930,2258.1520,2339.5480,2254.3070,2326.3980,3074096200,26695820773.0000,3,0.011790,3.063511
13,2012-04-13,sz.399930,2321.7990,2400.9790,2264.6510,2386.7600,8173713800,70854536105.0000,3,0.031327,2.594655
14,2012-04-20,sz.399930,2370.9800,2451.8850,2358.2840,2448.5400,10455612000,85532262887.0000,3,0.039986,2.588446
15,2012-04-27,sz.399930,2448.3550,2470.8640,2374.2240,2433.7490,12824385100,107795667196.0000,3,0.048768,-0.604074
16,2012-05-04,sz.399930,2465.3300,2503.4860,2446.5580,2503.3350,7059464700,62477012492.0000,3,0.026823,2.859210
17,2012-05-11,sz.399930,2489.9190,2522.2730,2436.6990,2437.0790,10028021700,94460011150.0000,3,0.038052,-2.646709
18,2012-05-18,sz.399930,2453.8940,2457.9810,2365.6870,2373.2020,8367292900,67445578815.0000,3,0.031688,-2.621048
19,2012-05-25,sz.399930,2377.9820,2434.0850,2357.8000,2395.3780,9901770500,74661001839.0000,3,0.037446,0.934434
20,2012-06-01,sz.399930,2389.3080,2494.4410,2364.4390,2448.4000,12353171000,103103755938.0000,3,0.046622,2.213513
21,2012-06-08,sz.399930,2407.9000,2408.7870,2325.4460,2329.6440,7350747900,58993211148.0000,3,0.027668,-4.850351
22,2012-06-15,sz.399930,2336.1860,2389.1390,2332.0750,2359.0970,7150778800,60366480615.0000,3,0.026810,1.264270
23,2012-06-21,sz.399930,2369.1260,2382.4410,2300.8740,2312.4150,4774488300,41325781318.0000,3,0.017887,-1.978808
24,2012-06-29,sz.399930,2305.9700,2306.0190,2195.9400,2233.6380,6151590000,50177670707.0000,3,0.023508,-3.406698
25,2012-07-06,sz.399930,2244.9270,2245.8410,2134.4040,2187.6180,6620334900,54295728633.0000,3,0.026388,-2.060316
