,date,code,open,high,low,close,preclose,volume,amount,pctChg
0,2012-01-04,sh.000033,1713.5020,1718.2520,1664.3890,1665.0890,1695.8050,451036700,4547060000.0000,-1.811297
1,2012-01-05,sh.000033,1658.5030,1665.2260,1622.3770,1624.8330,1665.0890,413517000,4043010000.0000,-2.417647
2,2012-01-06,sh.000033,1622.7760,1645.7240,1604.4590,1644.5020,1624.8330,408268300,3646290000.0000,1.210521
3,2012-01-09,sh.000033,1647.2810,1722.1140,1629.7470,1721.3000,1644.5020,697623800,6963330000.0000,4.669991
4,2012-01-10,sh.000033,1718.9720,1812.3490,1713.9500,1811.0940,1721.3000,1073093100,10831570000.0000,5.216635
5,2012-01-11,sh.000033,1811.4710,1827.6630,1793.4850,1816.7840,1811.0940,932976700,9607850000.0000,0.314178
6,2012-01-12,sh.000033,1805.1560,1855.9000,1799.0460,1831.5460,1816.7840,757987700,9307520000.0000,0.812532
7,2012-01-13,sh.000033,1831.3870,1848.0570,1771.5240,1798.8900,1831.5460,715586300,9639630000.0000,-1.782975
8,2012-01-16,sh.000033,1771.4260,1786.1490,1733.5430,1734.4610,1798.8900,454835200,5792750000.0000,-3.581595
9,2012-01-17,sh.000033,1737.8960,1877.6830,1737.8960,1877.5890,1734.4610,1017963700,11419730000.0000,8.252012
10,2012-01-18,sh.000033,1904.4930,1941.3360,1861.2890,1868.6990,1877.5890,1267706500,15734330000.0000,-0.473480
11,2012-01-19,sh.000033,1862.9770,1939.4260,1853.2620,1923.0530,1868.6990,922400500,10901220000.0000,2.908655
12,2012-01-20,sh.000033,1925.1540,1940.6660,1892.3220,1929.1540,1923.0530,689783100,9448370000.0000,0.317260
13,2012-01-30,sh.000033,1942.3700,1953.2620,1910.7900,1911.9520,1929.1540,710353800,8881590000.0000,-0.891687
14,2012-01-31,sh.000033,1904.6910,1917.5260,1891.0750,1908.7870,1911.9520,506067700,6367850000.0000,-0.165540
15,2012-02-01,sh.000033,1902.7330,1917.5030,1847.0180,1855.7880,1908.7870,578189200,7300550000.0000,-2.776582
16,2012-02-02,sh.000033,1865.1200,1899.6610,1853.2600,1898.9330,1855.7880,543233800,6907970000.0000,2.324889
17,2012-02-03,sh.000033,1894.0570,1923.9620,1885.1060,1916.5570,1898.9330,659546000,7957780000.0000,0.928101
18,2012-02-06,sh.000033,1918.9760,1928.4550,1903.6710,1919.8690,1916.5570,643624000,7459650000.0000,0.172811
19,2012-02-07,sh.000033,1905.6780,1905.6780,1862.9460,1885.0320,1919.8690,573502200,6568620000.0000,-1.814553
20,2012-02-08,sh.000033,1884.7450,1978.2640,1879.9260,1973.4780,1885.0320,1027733300,13464960000.0000,4.692019
21,2012-02-09,sh.000033,1964.3410,1985.2960,1950.4950,1967.2480,1973.4780,942006800,12677350000.0000,-0.315685
22,2012-02-10,sh.000033,1963.9370,1995.3390,1955.7840,1968.5560,1967.2480,897554400,10267240000.0000,0.066488
23,2012-02-13,sh.000033,1942.6060,1986.9550,1933.8640,1967.0340,1968.5560,695007300,7993920000.0000,-0.077314
24,2012-02-14,sh.000033,1964.8620,1967.4660,1943.2900,1957.2250,1967.0340,517204700,6521680000.0000,-0.498674
25,2012-02-15,sh.000033,1954.1670,1999.9460,1950.7040,1986.3770,1957.2250,856712500,10238800000.0000,1.489455
26,2012-02-16,sh.000033,1979.4820,1993.6620,1955.9470,1972.6910,1986.3770,722014700,8557490000.0000,-0.688989
27,2012-02-17,sh.000033,1982.9340,1990.3990,1953.2560,1964.9660,1972.6910,451510400,5324240000.0000,-0.391602
28,2012-02-20,sh.000033,1991.9970,2006.1740,1972.8290,1975.2130,1964.9660,874245600,9746240000.0000,0.521488
29,2012-02-21,sh.000033,1975.3550,1989.4030,1948.8230,1988.9440,1975.2130,666519500,7598670000.0000,0.695163
30,2012-02-22,sh.000033,1993.0700,2018.2510,1987.5190,2015.2360,1988.9440,940918400,10854080000.0000,1.321907
31,2012-02-23,sh.000033,2018.8760,2044.0850,2015.5140,2033.1330,2015.2360,1222673400,13575450000.0000,0.888089
32,2012-02-24,sh.000033,2034.4720,2060.0780,2022.0130,2058.7840,2033.1330,1127204800,13074620000.0000,1.261643
33,2012-02-27,sh.000033,2066.4650,2114.1330,2066.4650,2074.1740,2058.7840,1485420700,18258160000.0000,0.747535
34,2012-02-28,sh.000033,2067.0070,2086.5560,2050.4500,2077.8760,2074.1740,1042007600,12993810000.0000,0.178476
35,2012-02-29,sh.000033,2073.7350,2111.4120,2057.1180,2072.0750,2077.8760,1040777500,14197440000.0000,-0.279181
36,2012-03-01,sh.000033,2047.5710,2071.4560,2043.7500,2056.6680,2072.0750,676984500,9050890000.0000,-0.743553
37,2012-03-02,sh.000033,2061.7540,2090.7220,2061.7540,2090.3620,2056.6680,874699500,10993660000.0000,1.638285
38,2012-03-05,sh.000033,2096.2990,2108.1830,2082.8720,2089.9340,2090.3620,921461500,12271230000.0000,-0.020474
39,2012-03-06,sh.000033,2079.6580,2079.6580,2036.4370,2040.2330,2089.9340,871369800,11810720000.0000,-2.378116
40,2012-03-07,sh.000033,2010.6910,2035.1570,2004.7770,2010.6240,2040.2330,807926000,10237520000.0000,-1.451256
41,2012-03-08,sh.000033,2017.1930,2064.2370,2017.1930,2052.8870,2010.6240,912973800,11923170000.0000,2.101981
42,2012-03-09,sh.000033,2061.5080,2087.1050,2050.9050,2086.3470,2052.8870,838754400,12244130000.0000,1.629898
43,2012-03-12,sh.000033,2092.5940,2106.9890,2077.0570,2091.7930,2086.3470,923742700,14050220000.0000,0.261033
