,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2012-01-06,sh.000110,2589.4810,2595.5140,2361.5700,2434.1260,125651100,701980000.0000,3,0.015322,-5.506064
1,2012-01-13,sh.000110,2430.6610,2680.3650,2408.9310,2555.4360,362770800,2320020000.0000,3,0.044237,4.983719
2,2012-01-20,sh.000110,2540.0190,2655.0110,2488.1620,2626.5860,283947200,2182740000.0000,3,0.034625,2.784261
3,2012-02-03,sh.000110,2621.9800,2671.2990,2551.7380,2668.4390,287765200,2091200000.0000,3,0.035091,1.593437
4,2012-02-10,sh.000110,2661.6480,2881.8750,2624.4710,2836.6670,553442900,3799960000.0000,3,0.067489,6.304360
5,2012-02-17,sh.000110,2797.7680,2911.8420,2776.1610,2889.5250,595765300,4273050000.0000,3,0.072650,1.863384
6,2012-02-24,sh.000110,2924.2610,3197.7920,2869.7530,3161.3860,956815500,6340880000.0000,3,0.116677,9.408501
7,2012-03-02,sh.000110,3178.9190,3209.8250,2984.3110,3132.3580,833901000,5945150000.0000,3,0.101689,-0.918205
8,2012-03-09,sh.000110,3136.1720,3148.3520,3035.2880,3119.1000,584882900,4389790000.0000,3,0.071323,-0.423259
9,2012-03-16,sh.000110,3123.0120,3192.3410,2859.7540,2952.7600,772554300,5467250000.0000,3,0.094208,-4.641646
10,2012-03-23,sh.000110,2951.6320,3027.6130,2906.9900,2924.1120,911845200,6774610000.0000,3,0.111193,-0.970211
11,2012-03-30,sh.000110,2917.9920,2928.0430,2693.2360,2759.9340,502144000,3411460000.0000,3,0.061233,-5.614628
12,2012-04-06,sh.000110,2755.3510,2879.7820,2742.2460,2874.5510,197556400,1298300000.0000,3,0.024091,4.152889
13,2012-04-13,sh.000110,2859.2640,3088.1830,2747.5340,3044.5670,811781000,5074820000.0000,3,0.095303,5.914524
14,2012-04-20,sh.000110,3020.7390,3204.8170,2969.6000,3181.1010,1031206800,6398110000.0000,3,0.121063,4.484513
15,2012-04-27,sh.000110,3194.6010,3489.1200,3125.7680,3370.0560,1599547900,10002310000.0000,3,0.168046,5.939925
16,2012-05-04,sh.000110,3365.6710,3405.8600,3299.1560,3367.8950,758587800,5956080000.0000,3,0.079696,-0.064124
