,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2012-01-06,sh.000909,2097.6300,2101.7000,1967.5700,2016.7400,1691136100,16514879900.0000,3,0.012255,-2.910649
1,2012-01-13,sh.000909,2018.5100,2263.3500,1996.8600,2192.9200,5489012700,61488346600.0000,3,0.039777,8.735881
2,2012-01-20,sh.000909,2161.0200,2373.6500,2111.1800,2344.0300,5826856600,72407746300.0000,3,0.042226,6.890812
3,2012-02-03,sh.000909,2358.2500,2368.4300,2246.0900,2331.6500,3573428200,46791765400.0000,3,0.025881,-0.528150
4,2012-02-10,sh.000909,2337.3400,2432.8200,2265.5300,2399.7600,5027287000,66579371600.0000,3,0.036398,2.921107
5,2012-02-17,sh.000909,2368.3000,2438.2700,2358.1200,2403.0000,4193624200,52990703500.0000,3,0.030327,0.135014
6,2012-02-24,sh.000909,2437.3600,2516.9200,2375.5300,2516.4500,6011271200,71670125200.0000,3,0.043287,4.721182
7,2012-03-02,sh.000909,2526.0800,2582.6000,2489.1300,2546.3400,6419163700,84200638400.0000,3,0.046119,1.187784
8,2012-03-09,sh.000909,2554.1800,2569.8700,2438.5900,2535.6200,5190793900,74256258800.0000,3,0.037114,-0.420996
9,2012-03-16,sh.000909,2542.9900,2600.1200,2417.5800,2485.8900,7000530800,94704497500.0000,3,0.050054,-1.961256
10,2012-03-23,sh.000909,2483.8500,2584.8000,2450.1000,2461.1800,6368700300,90450138400.0000,3,0.045536,-0.994010
11,2012-03-30,sh.000909,2461.3600,2506.7800,2278.5600,2299.9600,4562080500,64059053100.0000,3,0.032619,-6.550516
12,2012-04-06,sh.000909,2295.6000,2401.4200,2290.0200,2386.4100,1864457800,26882715300.0000,3,0.013331,3.758761
13,2012-04-13,sh.000909,2375.5000,2462.8600,2315.3400,2450.5600,4480297900,60906987400.0000,3,0.032034,2.688138
14,2012-04-20,sh.000909,2426.7800,2477.5700,2403.4500,2473.6300,3978277200,48007121200.0000,3,0.028445,0.941417
15,2012-04-27,sh.000909,2472.2900,2488.9300,2368.7600,2464.7200,4763085400,60288326000.0000,3,0.034055,-0.360199
16,2012-05-04,sh.000909,2495.3500,2587.1400,2476.2200,2587.0000,3796543300,57201989100.0000,3,0.027100,4.961213
17,2012-05-11,sh.000909,2571.4600,2618.0800,2519.0800,2519.2900,5793871700,88428694100.0000,3,0.041207,-2.617317
18,2012-05-18,sh.000909,2537.6700,2541.6300,2429.2500,2445.2800,4214662600,61411549500.0000,3,0.029968,-2.937732
19,2012-05-25,sh.000909,2445.7700,2503.0300,2436.4200,2449.3700,3434724900,50765924500.0000,3,0.024278,0.167261
20,2012-06-01,sh.000909,2441.7800,2556.6500,2408.8400,2521.5600,4694938800,66516529600.0000,3,0.033131,2.947288
21,2012-06-08,sh.000909,2495.8200,2505.0800,2405.7200,2407.6100,3560165700,58004331800.0000,3,0.024849,-4.519028
22,2012-06-15,sh.000909,2407.6700,2444.6000,2377.8000,2413.3400,2952417600,43726178100.0000,3,0.020599,0.237995
23,2012-06-21,sh.000909,2425.4600,2444.8300,2349.7400,2360.0400,1972098000,28319386600.0000,3,0.013759,-2.208557
24,2012-06-29,sh.000909,2346.6900,2346.6900,2168.5400,2228.4300,2875085500,38091450800.0000,3,0.020272,-5.576600
25,2012-07-06,sh.000909,2246.0600,2261.0400,2170.7900,2237.8000,2697389200,34080026700.0000,3,0.018922,0.420475
26,2012-07-13,sh.000909,2213.8200,2246.3500,2161.9800,2219.7100,2944728500,36056047800.0000,3,0.020484,-0.808383
27,2012-07-20,sh.000909,2224.0200,2225.7000,2154.5700,2169.3900,2560315500,29481452500.0000,3,0.017801,-2.266963
28,2012-07-27,sh.000909,2153.2700,2157.6800,2121.5200,2127.9200,2253739800,24780932600.0000,3,0.015660,-1.911597
29,2012-08-03,sh.000909,2128.9300,2142.7100,2064.5700,2123.0400,2314809800,25577531800.0000,3,0.016084,-0.229332
30,2012-08-10,sh.000909,2121.1500,2260.8200,2117.9300,2222.2400,4076124900,57148672100.0000,3,0.028322,4.672545
31,2012-08-17,sh.000909,2216.9100,2216.9100,2131.5600,2152.6200,3140345000,36184134200.0000,3,0.021808,-3.132875
32,2012-08-24,sh.000909,2133.2500,2173.9300,2113.9000,2123.2200,2931398700,35585566600.0000,3,0.020244,-1.365778
33,2012-08-31,sh.000909,2112.6100,2113.0700,1980.2500,1988.0700,2966416100,31217203600.0000,3,0.020462,-6.365332
34,2012-09-07,sh.000909,1991.8700,2158.0000,1976.2700,2134.2900,3886019600,39823382500.0000,3,0.026806,7.354872
35,2012-09-14,sh.000909,2152.1900,2224.5000,2129.3800,2182.6500,5572967000,62519250500.0000,3,0.038443,2.265859
36,2012-09-21,sh.000909,2183.1100,2197.8500,2064.1400,2092.7800,4143001500,47298793100.0000,3,0.028568,-4.117472
37,2012-09-28,sh.000909,2069.1500,2149.3100,2031.7700,2146.3300,3996201600,43449409900.0000,3,0.027526,2.558797
38,2012-10-12,sh.000909,2143.9600,2174.2000,2102.0000,2137.2500,3892518800,41938406600.0000,3,0.026811,-0.423048
39,2012-10-19,sh.000909,2127.3300,2149.6700,2085.0000,2135.3600,2909715400,30738319900.0000,3,0.020042,-0.088431
40,2012-10-26,sh.000909,2112.2800,2135.1300,2024.2400,2026.4600,3706786000,33240993900.0000,3,0.025532,-5.099843
41,2012-11-02,sh.000909,2022.5600,2077.4800,1996.7000,2066.5400,3178921400,31985748400.0000,3,0.021602,1.977833
42,2012-11-09,sh.000909,2055.1400,2091.9200,2004.3200,2007.5200,2593001000,29855838700.0000,3,0.017556,-2.855981
43,2012-11-16,sh.000909,2009.6400,2025.2000,1938.3700,1952.8000,2114931800,24037718000.0000,3,0.014315,-2.725751
44,2012-11-23,sh.000909,1951.1600,1990.4600,1943.7700,1977.6400,1674391800,19380476600.0000,3,0.011333,1.272020
45,2012-11-30,sh.000909,1978.9900,1984.4600,1869.6400,1901.2400,2342518700,21501822100.0000,3,0.015855,-3.863190
46,2012-12-07,sh.000909,1899.1100,2001.1900,1844.2900,1992.2200,3747538300,35499524300.0000,3,0.025365,4.785298
47,2012-12-14,sh.000909,1998.1400,2076.3100,1983.7000,2072.9700,4219348400,42287312900.0000,3,0.028558,4.053267
48,2012-12-21,sh.000909,2076.0000,2161.7300,2075.6600,2111.6500,5637778600,65429036800.0000,3,0.038198,1.865922
49,2012-12-28,sh.000909,2106.9600,2181.3400,2078.7000,2171.8100,5289584900,60055623300.0000,3,0.035897,2.848957
50,2013-01-04,sh.000909,2174.5500,2238.2400,2170.1700,2209.5700,2604755700,29110486100.0000,3,0.018063,1.738642
51,2013-01-11,sh.000909,2204.4200,2218.1000,2141.1900,2148.2500,5154090800,59211928200.0000,3,0.036338,-2.775201
52,2013-01-18,sh.000909,2135.9700,2276.4000,2134.6700,2234.9900,6155003900,70918995900.0000,3,0.043394,4.037705
53,2013-01-25,sh.000909,2236.7100,2243.3300,2159.1000,2178.6600,4661835000,50886836900.0000,3,0.032858,-2.520369
54,2013-02-01,sh.000909,2182.8100,2287.1700,2182.8100,2274.6200,5730014200,64431951500.0000,3,0.040370,4.404542
55,2013-02-08,sh.000909,2291.4000,2351.8000,2266.0500,2342.1800,5844172600,65778015200.0000,3,0.041175,2.970166
56,2013-02-22,sh.000909,2338.7100,2341.4900,2153.2600,2174.4800,4789057100,53829762800.0000,3,0.033741,-7.159996
57,2013-03-01,sh.000909,2176.1500,2201.6800,2126.0900,2193.9100,3793981200,40178439500.0000,3,0.026730,0.893547
58,2013-03-08,sh.000909,2164.5300,2164.5300,2083.6600,2132.4400,5043851700,49890200500.0000,3,0.035395,-2.801847
59,2013-03-15,sh.000909,2129.8700,2148.4400,2050.8800,2066.3100,4112330800,39921402600.0000,3,0.028854,-3.101142
60,2013-03-22,sh.000909,2050.9200,2096.4300,2009.5300,2087.6200,3751516200,36237752900.0000,3,0.026244,1.031307
61,2013-03-29,sh.000909,2091.2800,2118.1800,2021.5000,2023.8200,4331622600,39811566000.0000,3,0.030283,-3.056112
62,2013-04-03,sh.000909,2010.9900,2044.6200,2001.9600,2020.2500,1954922100,17115141900.0000,3,0.013634,-0.176399
63,2013-04-12,sh.000909,1994.3300,2050.0400,1978.7700,2002.0300,2917050700,27473988000.0000,3,0.020344,-0.901869
64,2013-04-19,sh.000909,1978.2600,1996.1700,1914.6500,1989.1900,2885956400,27574959300.0000,3,0.020077,-0.641349
65,2013-04-26,sh.000909,1986.0500,1988.5000,1904.8600,1908.3500,3093936200,28750506900.0000,3,0.021524,-4.063966
66,2013-05-03,sh.000909,1895.5900,1910.6400,1865.1600,1894.1900,1061987200,9903885800.0000,3,0.007388,-0.742002
67,2013-05-10,sh.000909,1912.3400,1967.7300,1912.3400,1946.3200,3208026400,33676200900.0000,3,0.022317,2.752100
68,2013-05-17,sh.000909,1946.4000,1960.2400,1886.9100,1957.4000,3271915900,30160092900.0000,3,0.022762,0.569279
69,2013-05-24,sh.000909,1959.3500,1994.2200,1937.6600,1958.4800,4066774900,38915896000.0000,3,0.028302,0.055175
70,2013-05-31,sh.000909,1954.8500,1993.3800,1941.8600,1956.8200,4087104800,37469407200.0000,3,0.028516,-0.084760
71,2013-06-07,sh.000909,1954.3600,1962.2800,1858.8300,1863.9900,2865973500,25991156700.0000,3,0.019996,-4.743921
72,2013-06-14,sh.000909,1845.6600,1845.6600,1769.8800,1786.1100,1377680600,11121524900.0000,3,0.009611,-4.178134
73,2013-06-21,sh.000909,1790.7600,1792.9000,1658.1800,1690.3700,3329535800,25631462500.0000,3,0.023227,-5.360252
74,2013-06-28,sh.000909,1683.7700,1684.1500,1454.5700,1542.7000,4964853600,33233174300.0000,3,0.034635,-8.735957
75,2013-07-05,sh.000909,1532.9300,1604.6700,1501.5300,1577.3300,4038313800,35897517100.0000,3,0.032470,2.244766
76,2013-07-12,sh.000909,1545.5600,1655.7700,1497.3000,1593.7600,4627029300,42594748500.0000,3,0.037203,1.041634
77,2013-07-19,sh.000909,1594.0900,1625.5700,1507.9500,1509.6400,3490439600,32051404200.0000,3,0.028065,-5.278085
78,2013-07-26,sh.000909,1504.0300,1591.2100,1495.9400,1545.9500,3139991300,28363009700.0000,3,0.025227,2.405209
79,2013-08-02,sh.000909,1534.3300,1583.0800,1505.4700,1565.0700,3086551300,26355844100.0000,3,0.024766,1.236780
80,2013-08-09,sh.000909,1566.3200,1651.4000,1563.6400,1647.8900,4103990600,40586048400.0000,3,0.032911,5.291776
81,2013-08-16,sh.000909,1655.4400,1739.7300,1653.6300,1656.5200,5835331800,56386823100.0000,3,0.046738,0.523700
82,2013-08-23,sh.000909,1653.9500,1699.4200,1611.8100,1638.3100,3242265300,34111375200.0000,3,0.025969,-1.099292
83,2013-08-30,sh.000909,1645.5100,1726.2200,1643.2300,1667.7100,4738563100,45426211500.0000,3,0.037954,1.794532
84,2013-09-06,sh.000909,1672.7500,1715.9000,1658.8100,1684.4600,4074515700,35093607200.0000,3,0.032635,1.004371
85,2013-09-13,sh.000909,1689.3400,1782.2300,1687.6400,1734.0200,6384739100,53592110500.0000,3,0.051139,2.942189
86,2013-09-18,sh.000909,1737.2200,1744.6300,1664.4000,1680.1400,1962377500,18306885600.0000,3,0.015718,-3.107231
