,date,code,open,high,low,close,preclose,volume,amount,pctChg
0,2012-01-04,sh.000935,1880.7600,1885.7200,1800.5700,1800.6300,1867.0700,277030600,2968300000.0000,-3.558514
1,2012-01-05,sh.000935,1787.5400,1787.5400,1704.1700,1711.6600,1800.6300,303969700,3291630000.0000,-4.941047
2,2012-01-06,sh.000935,1698.4600,1739.3300,1684.5000,1738.7600,1711.6600,267407300,2805720000.0000,1.583257
3,2012-01-09,sh.000935,1740.1400,1816.2500,1721.2200,1815.9100,1738.7600,421691400,4347050000.0000,4.437071
4,2012-01-10,sh.000935,1810.0000,1885.7500,1804.5500,1885.5200,1815.9100,554902600,5829560000.0000,3.833339
5,2012-01-11,sh.000935,1878.8000,1925.9600,1867.9800,1898.5100,1885.5200,514755900,5423960000.0000,0.688934
6,2012-01-12,sh.000935,1887.8500,1923.8300,1884.5800,1894.5900,1898.5100,419947200,4795620000.0000,-0.206480
7,2012-01-13,sh.000935,1893.1200,1896.9100,1808.2100,1822.5700,1894.5900,415390500,4493320000.0000,-3.801351
8,2012-01-16,sh.000935,1800.0600,1811.3300,1758.0800,1758.9200,1822.5700,200244500,2277670000.0000,-3.492316
9,2012-01-17,sh.000935,1752.0000,1861.4100,1739.4100,1861.3300,1758.9200,407163800,4507060000.0000,5.822318
10,2012-01-18,sh.000935,1863.2300,1878.5700,1796.6200,1805.1400,1861.3300,421842200,4741500000.0000,-3.018806
11,2012-01-19,sh.000935,1795.6000,1834.1300,1784.2500,1816.9200,1805.1400,283574500,3100410000.0000,0.652583
12,2012-01-20,sh.000935,1822.7400,1845.0700,1815.5300,1838.4000,1816.9200,268531500,2866620000.0000,1.182219
13,2012-01-30,sh.000935,1845.1800,1867.8700,1827.9500,1838.7300,1838.4000,292048300,3038720000.0000,0.017948
14,2012-01-31,sh.000935,1835.9100,1847.0300,1822.0700,1842.2700,1838.7300,302313400,3553520000.0000,0.192526
15,2012-02-01,sh.000935,1839.1800,1859.7600,1827.1600,1832.7500,1842.2700,339412700,3635680000.0000,-0.516755
16,2012-02-02,sh.000935,1836.4700,1872.6700,1830.0100,1872.6700,1832.7500,332833300,3447530000.0000,2.178150
17,2012-02-03,sh.000935,1868.2600,1929.9000,1862.6500,1921.6500,1872.6700,557739700,5654040000.0000,2.615516
18,2012-02-06,sh.000935,1926.3800,1941.4700,1914.4300,1935.4300,1921.6500,464316700,5155240000.0000,0.717094
19,2012-02-07,sh.000935,1925.2500,1925.2500,1884.1300,1900.8800,1935.4300,397865600,4220800000.0000,-1.785136
20,2012-02-08,sh.000935,1898.3300,1957.6400,1889.5100,1957.1000,1900.8800,468977300,5133590000.0000,2.957576
21,2012-02-09,sh.000935,1952.4200,1984.9200,1947.3000,1966.9400,1957.1000,565361700,6093750000.0000,0.502783
22,2012-02-10,sh.000935,1963.1600,1979.9800,1950.6000,1964.2900,1966.9400,483325800,5179940000.0000,-0.134722
23,2012-02-13,sh.000935,1944.9700,2022.4500,1937.7100,2012.4300,1964.2900,645871600,6993000000.0000,2.450759
24,2012-02-14,sh.000935,2010.0300,2022.4200,1990.2000,2003.3800,2012.4300,541475100,5946640000.0000,-0.449707
25,2012-02-15,sh.000935,2004.7100,2048.0300,1999.8900,2042.3300,2003.3800,680815400,7330120000.0000,1.944212
26,2012-02-16,sh.000935,2039.4000,2059.8500,2018.6100,2036.8500,2042.3300,657015700,7259200000.0000,-0.268320
27,2012-02-17,sh.000935,2041.3400,2048.6100,2004.8800,2028.9400,2036.8500,469780300,5087880000.0000,-0.388346
28,2012-02-20,sh.000935,2056.8000,2075.4400,2033.4200,2036.0700,2028.9400,543637900,6107300000.0000,0.351415
29,2012-02-21,sh.000935,2032.6700,2075.6500,2010.9000,2075.4900,2036.0700,549616700,6340250000.0000,1.936085
30,2012-02-22,sh.000935,2076.6700,2123.7200,2073.3200,2123.7200,2075.4900,750964300,8913610000.0000,2.323788
31,2012-02-23,sh.000935,2120.7700,2136.0400,2098.4100,2117.8100,2123.7200,628572200,7451190000.0000,-0.278281
32,2012-02-24,sh.000935,2116.4600,2129.3200,2106.8200,2128.5100,2117.8100,565715700,6394650000.0000,0.505237
33,2012-02-27,sh.000935,2134.0400,2171.4600,2133.8700,2137.3600,2128.5100,813997400,9482780000.0000,0.415788
34,2012-02-28,sh.000935,2126.4800,2139.9600,2100.8400,2125.8700,2137.3600,639593300,7123940000.0000,-0.537579
35,2012-02-29,sh.000935,2123.4500,2123.4500,2087.1600,2088.5400,2125.8700,513326000,5539670000.0000,-1.755991
36,2012-03-01,sh.000935,2080.2200,2133.1200,2079.2800,2113.7900,2088.5400,550900400,5837650000.0000,1.208979
37,2012-03-02,sh.000935,2116.7900,2149.4800,2116.7900,2149.2600,2113.7900,594628100,6279680000.0000,1.678027
38,2012-03-05,sh.000935,2156.7500,2169.5200,2151.3100,2154.3800,2149.2600,686483900,7739150000.0000,0.238216
39,2012-03-06,sh.000935,2150.0200,2150.0200,2112.1300,2134.8400,2154.3800,630563700,7326970000.0000,-0.906980
40,2012-03-07,sh.000935,2113.4300,2141.5000,2104.0600,2107.1100,2134.8400,570105600,6489010000.0000,-1.298925
41,2012-03-08,sh.000935,2114.4000,2153.2000,2114.0900,2146.9200,2107.1100,595071200,7605270000.0000,1.889309
42,2012-03-09,sh.000935,2152.7600,2180.3900,2143.6800,2180.3900,2146.9200,625194400,8101180000.0000,1.558976
43,2012-03-12,sh.000935,2182.4600,2191.7200,2165.8300,2187.3200,2180.3900,606424200,8044110000.0000,0.317841
44,2012-03-13,sh.000935,2183.0500,2222.7500,2181.9100,2222.6600,2187.3200,698864300,8583750000.0000,1.615669
45,2012-03-14,sh.000935,2228.6500,2240.5900,2109.0000,2124.3600,2222.6600,1008467700,12579680000.0000,-4.422620
46,2012-03-15,sh.000935,2119.3800,2136.3200,2060.2500,2091.2500,2124.3600,660799700,7995050000.0000,-1.558592
47,2012-03-16,sh.000935,2094.7600,2133.7500,2074.3600,2133.7500,2091.2500,562911800,7054160000.0000,2.032277
48,2012-03-19,sh.000935,2127.4200,2155.8100,2120.8700,2154.4900,2133.7500,494676700,6379390000.0000,0.971997
49,2012-03-20,sh.000935,2148.0300,2148.0300,2092.6000,2092.9600,2154.4900,425844600,5343280000.0000,-2.855898
50,2012-03-21,sh.000935,2102.1100,2116.7400,2059.6000,2096.5100,2092.9600,456636000,5812020000.0000,0.169619
51,2012-03-22,sh.000935,2094.5700,2097.1400,2066.9400,2083.3500,2096.5100,334923100,4168420000.0000,-0.627706
52,2012-03-23,sh.000935,2075.8900,2079.3300,2035.7800,2045.2700,2083.3500,323108400,3889070000.0000,-1.827829
53,2012-03-26,sh.000935,2041.9100,2049.9600,2022.1000,2037.5400,2045.2700,232216500,2865620000.0000,-0.377944
54,2012-03-27,sh.000935,2050.5600,2065.1700,2034.5100,2038.6900,2037.5400,280669500,3588410000.0000,0.056436
55,2012-03-28,sh.000935,2032.0400,2032.0400,1943.9000,1946.9400,2038.6900,362149900,4151030000.0000,-4.500439
56,2012-03-29,sh.000935,1937.6500,1937.6500,1885.4100,1909.7400,1946.9400,301233500,3416500000.0000,-1.910688
57,2012-03-30,sh.000935,1909.2200,1921.5000,1884.3200,1906.1100,1909.7400,247782200,2744330000.0000,-0.190079
58,2012-04-05,sh.000935,1905.8800,1973.9200,1905.1000,1971.9900,1906.1100,321636200,3702330000.0000,3.456254
59,2012-04-06,sh.000935,1972.9300,2004.7000,1968.0200,1992.1300,1971.9900,361025800,4192630000.0000,1.021304
60,2012-04-09,sh.000935,1986.0300,1995.0200,1962.1600,1962.7400,1992.1300,296121900,3460420000.0000,-1.475306
61,2012-04-10,sh.000935,1957.1900,1984.6000,1915.0700,1984.6000,1962.7400,347114900,4089510000.0000,1.113748
62,2012-04-11,sh.000935,1958.2200,1995.7300,1950.7500,1987.1100,1984.6000,335050400,3640500000.0000,0.126474
63,2012-04-12,sh.000935,1988.8200,2028.2600,1984.5600,2027.6400,1987.1100,460767400,5042180000.0000,2.039647
64,2012-04-13,sh.000935,2041.7900,2065.4600,2027.5100,2048.8500,2027.6400,569910600,7523650000.0000,1.046048
65,2012-04-16,sh.000935,2033.3600,2060.7800,2026.5600,2049.9400,2048.8500,435328000,5187570000.0000,0.053193
66,2012-04-17,sh.000935,2043.8600,2059.2100,2029.0500,2030.2000,2049.9400,487246300,6048730000.0000,-0.962955
67,2012-04-18,sh.000935,2036.2000,2076.3000,2032.6100,2074.7300,2030.2000,511853100,6267600000.0000,2.193382
68,2012-04-19,sh.000935,2073.1900,2086.0400,2059.0200,2068.3300,2074.7300,483504300,5887520000.0000,-0.308469
69,2012-04-20,sh.000935,2064.1100,2080.3500,2051.8600,2079.4500,2068.3300,477021300,5265720000.0000,0.537626
70,2012-04-23,sh.000935,2074.9700,2080.3000,2036.4900,2044.0900,2079.4500,529552700,6003900000.0000,-1.700449
71,2012-04-24,sh.000935,2028.9800,2062.9800,1974.8200,2028.2600,2044.0900,592074200,6400010000.0000,-0.774426
72,2012-04-25,sh.000935,2021.8600,2046.0200,2008.9900,2043.2100,2028.2600,535182000,5427830000.0000,0.737083
73,2012-04-26,sh.000935,2043.1300,2046.7900,2016.7500,2024.0100,2043.2100,447892400,4770800000.0000,-0.939695
74,2012-04-27,sh.000935,2023.2600,2031.8100,2012.5000,2016.8000,2024.0100,315632300,3659990000.0000,-0.356222
75,2012-05-02,sh.000935,2044.6600,2062.3800,2027.9800,2052.1000,2016.8000,459674500,6233720000.0000,1.750300
76,2012-05-03,sh.000935,2046.5500,2057.8600,2040.9500,2057.5100,2052.1000,363322300,4907370000.0000,0.263628
77,2012-05-04,sh.000935,2064.6600,2095.0600,2062.4900,2091.9300,2057.5100,438197800,6181820000.0000,1.672892
78,2012-05-07,sh.000935,2081.5700,2130.1100,2077.4200,2130.1100,2091.9300,496254800,7200140000.0000,1.825117
79,2012-05-08,sh.000935,2128.1000,2137.2100,2112.6100,2129.7500,2130.1100,457995900,6760030000.0000,-0.016906
80,2012-05-09,sh.000935,2110.8200,2112.1800,2080.6000,2082.6400,2129.7500,409183400,5765700000.0000,-2.212002
81,2012-05-10,sh.000935,2084.2100,2111.7700,2084.2100,2106.3200,2082.6400,369235100,5917160000.0000,1.137027
82,2012-05-11,sh.000935,2104.0400,2121.1800,2086.4000,2086.8000,2106.3200,368977100,5703380000.0000,-0.926736
83,2012-05-14,sh.000935,2099.9800,2102.2100,2059.6700,2063.1300,2086.8000,355884500,4994570000.0000,-1.134280
84,2012-05-15,sh.000935,2044.7400,2074.2500,2031.9700,2073.7500,2063.1300,347391500,4937940000.0000,0.514758
85,2012-05-16,sh.000935,2067.5800,2069.2400,2039.6300,2040.3700,2073.7500,324019600,5081330000.0000,-1.609645
86,2012-05-17,sh.000935,2041.3700,2070.0900,2033.7900,2069.3800,2040.3700,373429100,5296900000.0000,1.421795
