,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2012-01-06,sh.000935,1880.7600,1885.7200,1684.5000,1738.7600,848407600,9065650000.0000,3,0.027647,-6.872265
1,2012-01-13,sh.000935,1740.1400,1925.9600,1721.2200,1822.5700,2326687600,24889510000.0000,3,0.075821,4.820102
2,2012-01-20,sh.000935,1800.0600,1878.5700,1739.4100,1838.4000,1581356500,17493260000.0000,3,0.051532,0.868554
3,2012-02-03,sh.000935,1845.1800,1929.9000,1822.0700,1921.6500,1824347400,19329490000.0000,3,0.059180,4.528394
4,2012-02-10,sh.000935,1926.3800,1984.9200,1884.1300,1964.2900,2379847100,25783320000.0000,3,0.077199,2.218926
5,2012-02-17,sh.000935,1944.9700,2059.8500,1937.7100,2028.9400,2994958100,32616840000.0000,3,0.097153,3.291266
6,2012-02-24,sh.000935,2056.8000,2136.0400,2010.9000,2128.5100,3038506800,35207000000.0000,3,0.098565,4.907489
7,2012-03-02,sh.000935,2134.0400,2171.4600,2079.2800,2149.2600,3112445200,34263720000.0000,3,0.100964,0.974860
8,2012-03-09,sh.000935,2156.7500,2180.3900,2104.0600,2180.3900,3107418800,37261580000.0000,3,0.100801,1.448405
9,2012-03-16,sh.000935,2182.4600,2240.5900,2060.2500,2133.7500,3537467700,44256750000.0000,3,0.114751,-2.139067
10,2012-03-23,sh.000935,2127.4200,2155.8100,2035.7800,2045.2700,2035188800,25592180000.0000,3,0.065844,-4.146690
11,2012-03-30,sh.000935,2041.9100,2065.1700,1884.3200,1906.1100,1424051600,16765890000.0000,3,0.045882,-6.803992
12,2012-04-06,sh.000935,1905.8800,2004.7000,1905.1000,1992.1300,682662000,7894960000.0000,3,0.021995,4.512856
13,2012-04-13,sh.000935,1986.0300,2065.4600,1915.0700,2048.8500,2008965200,23756260000.0000,3,0.064664,2.847204
14,2012-04-20,sh.000935,2033.3600,2086.0400,2026.5600,2079.4500,2394953000,28657140000.0000,3,0.076739,1.493521
15,2012-04-27,sh.000935,2074.9700,2080.3000,1974.8200,2016.8000,2420333600,26262530000.0000,3,0.076636,-3.012816
16,2012-05-04,sh.000935,2044.6600,2095.0600,2027.9800,2091.9300,1261194600,17322910000.0000,3,0.039934,3.725208
17,2012-05-11,sh.000935,2081.5700,2137.2100,2077.4200,2086.8000,2101646300,31346410000.0000,3,0.066531,-0.245228
18,2012-05-18,sh.000935,2099.9800,2102.2100,2031.9700,2038.6100,1724135500,25152400000.0000,3,0.054179,-2.309277
19,2012-05-25,sh.000935,2036.1800,2085.8300,2023.5700,2034.0400,1829242600,28987970000.0000,3,0.056814,-0.224172
20,2012-06-01,sh.000935,2020.7800,2126.0400,1981.4700,2101.9400,2068319900,29884450000.0000,3,0.063854,3.338184
21,2012-06-08,sh.000935,2058.7400,2087.2800,1996.7100,2002.0900,1605041600,24935890000.0000,3,0.049094,-4.750373
22,2012-06-15,sh.000935,2006.3600,2063.9000,2002.2800,2041.5100,1381015000,21565940000.0000,3,0.041324,1.968942
23,2012-06-21,sh.000935,2050.9400,2072.3900,2017.6900,2027.7400,1212714200,15261340000.0000,3,0.036144,-0.674501
24,2012-06-29,sh.000935,2015.9400,2016.0700,1913.1200,1967.7300,1362118700,18497350000.0000,3,0.041089,-2.959452
25,2012-07-06,sh.000935,1973.9900,2005.5800,1909.2500,1965.6300,1608258800,18779570000.0000,3,0.033972,-0.106722
26,2012-07-13,sh.000935,1956.3300,1964.6800,1893.8900,1919.3800,1347084400,15357500000.0000,3,0.028329,-2.352935
27,2012-07-20,sh.000935,1918.9100,1919.7900,1821.5600,1867.2400,1436268400,14479190000.0000,3,0.029927,-2.716502
28,2012-07-27,sh.000935,1856.0700,1877.4600,1832.9800,1841.5100,1022620400,10401280000.0000,3,0.021281,-1.377970
29,2012-08-03,sh.000935,1838.7400,1850.5000,1762.8800,1848.7800,1208016800,11626850000.0000,3,0.025137,0.394785
30,2012-08-10,sh.000935,1843.4400,1942.8900,1839.2600,1934.6900,1747507200,17438680000.0000,3,0.036364,4.646848
31,2012-08-17,sh.000935,1928.4100,1928.5900,1855.9700,1874.7100,1484556000,13515790000.0000,3,0.030892,-3.100238
32,2012-08-24,sh.000935,1864.1500,1935.7600,1848.9300,1887.1000,1574006500,14525310000.0000,3,0.032753,0.660902
