,date,code,open,high,low,close,preclose,volume,amount,pctChg
0,2014-12-31,sz.399436,3049.8120,3104.2020,3015.8000,3104.1530,0.0000,887174096,7970177536.0000,0.000000
1,2015-01-05,sz.399436,3119.5360,3396.6650,3119.5360,3396.6650,3104.1530,2394050704,21546988288.0000,9.423245
2,2015-01-06,sz.399436,3478.4470,3537.2470,3359.3830,3386.7450,3396.6650,2880923840,28296777472.0000,-0.292049
3,2015-01-07,sz.399436,3317.8140,3407.7370,3302.4950,3389.5310,3386.7450,1495457472,14054617600.0000,0.082259
4,2015-01-08,sz.399436,3368.5470,3467.4650,3299.1740,3341.9120,3389.5310,1448652528,13923099136.0000,-1.404882
5,2015-01-09,sz.399436,3302.9690,3371.8840,3254.6040,3256.3200,3341.9120,1154039072,11249354496.0000,-2.561170
6,2015-01-12,sz.399436,3224.4730,3227.0820,3151.7610,3167.6520,3256.3200,973236816,8891995392.0000,-2.722950
7,2015-01-13,sz.399436,3157.6320,3199.6780,3147.7280,3164.8000,3167.6520,530650320,5012989184.0000,-0.090037
8,2015-01-14,sz.399436,3162.6040,3194.4660,3080.0500,3103.8090,3164.8000,674787616,6165411328.0000,-1.927166
9,2015-01-15,sz.399436,3112.8520,3196.8560,3087.4610,3196.8560,3103.8090,664881264,6245873152.0000,2.997829
10,2015-01-16,sz.399436,3198.3690,3254.7890,3181.6030,3207.0940,3196.8560,749755936,7152999680.0000,0.320253
11,2015-01-19,sz.399436,3063.6750,3093.6620,2911.1420,2922.8850,3207.0940,1132717360,9836199680.0000,-8.861885
12,2015-01-20,sz.399436,2913.3020,2978.5000,2912.9210,2974.1860,2922.8850,815251392,7301489664.0000,1.755150
13,2015-01-21,sz.399436,2970.3230,3086.8100,2958.4990,3079.8180,2974.1860,963352432,8712508160.0000,3.551630
14,2015-01-22,sz.399436,3078.9560,3162.7490,3058.3770,3112.0820,3079.8180,949807968,8544808192.0000,1.047592
15,2015-01-23,sz.399436,3131.0310,3143.4820,3073.1200,3090.0050,3112.0820,738942288,6599475712.0000,-0.709401
16,2015-01-26,sz.399436,3075.2340,3126.4560,3056.7110,3126.4560,3090.0050,663897968,5799126528.0000,1.179648
17,2015-01-27,sz.399436,3127.0190,3139.4610,3043.5150,3090.2130,3126.4560,714092416,6380223488.0000,-1.159241
18,2015-01-28,sz.399436,3074.0350,3076.2370,3030.8520,3040.3470,3090.2130,703167264,5580115200.0000,-1.613674
19,2015-01-29,sz.399436,3001.3670,3068.5460,2991.3050,3033.8990,3040.3470,613535920,5179168512.0000,-0.212081
20,2015-01-30,sz.399436,3037.4940,3054.4330,2979.8830,2979.9140,3033.8990,485246928,4150319536.0000,-1.779389
21,2015-02-02,sz.399436,2951.7450,2961.5170,2916.2920,2922.0170,2979.9140,419355200,3563570464.0000,-1.942907
