,date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
0,2015-06-12,sz.399674,3206.0460,3453.8680,3164.2130,3437.4330,5081952704,189327880448.0000,3,0.130004,0.000000
1,2015-06-19,sz.399674,3452.8760,3453.5450,2984.5950,3002.9770,5614664160,213725278976.0000,3,0.142742,-12.638966
2,2015-06-26,sz.399674,2990.9120,3101.8520,2695.9820,2710.0720,3978703344,134974515456.0000,3,0.100473,-9.753821
3,2015-07-03,sz.399674,2756.9890,2760.4830,2257.0480,2327.8150,6600428416,191991865344.0000,3,0.165504,-14.105050
4,2015-07-10,sz.399674,2502.5420,2502.5420,2040.0240,2259.3170,5260745120,135710043648.0000,3,0.131102,-2.942588
5,2015-07-17,sz.399674,2340.7610,2528.3110,2217.2780,2513.5680,6598596192,181236893952.0000,3,0.163193,11.253445
6,2015-07-24,sz.399674,2529.6820,2703.1730,2495.9440,2629.5590,7179326192,202995829760.0000,3,0.175461,4.614596
7,2015-07-31,sz.399674,2576.3500,2634.0710,2275.3250,2356.7110,6242196960,165397296640.0000,3,0.151863,-10.376189
8,2015-08-07,sz.399674,2320.8740,2452.9570,2260.0020,2438.2410,5523875296,125519090432.0000,3,0.134363,3.459482
9,2015-08-14,sz.399674,2463.1680,2568.3320,2448.8350,2537.1000,5766308336,143236447232.0000,3,0.139338,4.054521
10,2015-08-21,sz.399674,2526.5630,2579.4580,2250.6300,2255.7960,5981484288,144065809920.0000,3,0.143490,-11.087620
11,2015-08-28,sz.399674,2156.5640,2167.4460,1858.8990,2088.0030,5851414400,115984538112.0000,3,0.140366,-7.438306
12,2015-09-02,sz.399674,2070.5170,2070.5170,1832.9960,1912.2780,3204123232,61040663040.0000,3,0.076159,-8.415936
13,2015-09-11,sz.399674,1923.6040,2065.9150,1885.4110,2026.5920,4611650752,87109276928.0000,3,0.109063,5.977897
14,2015-09-18,sz.399674,2031.1380,2035.9400,1813.5820,1927.1690,4617829056,77640391936.0000,3,0.107993,-4.905921
15,2015-09-25,sz.399674,1906.5410,2030.4300,1899.5350,1953.3750,5071022384,87836627712.0000,3,0.116652,1.359818
16,2015-09-30,sz.399674,1954.3270,2006.9160,1937.4470,1980.2040,2206443216,43257866496.0000,3,0.050665,1.373469
17,2015-10-09,sz.399674,2051.9850,2094.9210,2039.9600,2086.7790,2112608496,41011074560.0000,3,0.048379,5.382021
18,2015-10-16,sz.399674,2101.0300,2243.1260,2097.7520,2235.1500,6299995568,129056631808.0000,3,0.143038,7.110049
19,2015-10-23,sz.399674,2239.8170,2378.8700,2153.4170,2374.0050,7989547200,173640887296.0000,3,0.178389,6.212335
20,2015-10-30,sz.399674,2403.6390,2403.6390,2261.6630,2290.6190,7287058096,169148585984.0000,3,0.160245,-3.512461
21,2015-11-06,sz.399674,2255.9000,2380.4590,2206.9960,2377.6290,7131265264,171051342592.0000,3,0.155503,3.798537
22,2015-11-13,sz.399674,2367.1180,2507.6390,2350.5030,2418.6230,8843116272,212377570304.0000,3,0.192804,1.724155
23,2015-11-20,sz.399674,2369.4240,2485.7400,2365.2960,2453.9320,6185754912,145749237248.0000,3,0.134767,1.459880
24,2015-11-27,sz.399674,2455.2660,2547.7280,2331.9730,2350.4320,7039633504,175273656576.0000,3,0.153096,-4.217721
